iter	Passed	Remaining
0	136	136716
1	137	68815
2	138	46189
3	140	34905
4	141	28111
5	142	23572
6	143	20322
7	144	17894
8	145	16005
9	146	14483
10	147	13235
11	148	12189
12	148	11305
13	149	10548
14	150	9888
15	151	9308
16	152	8799
17	153	8349
18	153	7945
19	154	7581
20	155	7248
21	156	6953
22	157	6677
23	158	6427
24	158	6198
25	159	5986
26	160	5790
27	161	5609
28	162	5440
29	163	5283
30	164	5137
31	165	5000
32	166	4870
33	167	4749
34	168	4634
35	169	4527
36	170	4424
37	170	4328
38	171	4236
39	172	4148
40	173	4064
41	174	3987
42	175	3911
43	176	3840
44	177	3772
45	178	3705
46	179	3643
47	180	3585
48	181	3527
49	182	3471
50	183	3419
51	184	3369
52	185	3319
53	186	3273
54	187	3228
55	189	3186
56	190	3145
57	191	3102
58	191	3061
59	192	3023
60	193	2983
61	194	2947
62	195	2910
63	196	2875
64	197	2840
65	198	2807
66	199	2776
67	199	2739
68	200	2710
69	201	2681
70	202	2652
71	203	2626
72	204	2598
73	205	2571
74	206	2545
75	207	2519
76	208	2495
77	209	2472
78	210	2449
79	211	2426
80	211	2404
81	212	2382
82	213	2361
83	214	2341
84	215	2318
85	216	2299
86	216	2277
87	217	2258
88	218	2239
89	219	2221
90	220	2204
91	221	2187
92	222	2170
93	223	2155
94	224	2139
95	225	2122
96	226	2107
97	227	2092
98	228	2076
99	229	2062
100	230	2048
101	230	2030
102	231	2016
103	232	2003
104	233	1989
105	234	1977
106	235	1965
107	236	1953
108	237	1941
109	238	1929
110	239	1917
111	240	1905
112	241	1893
113	242	1882
114	243	1870
115	243	1858
116	244	1847
117	245	1836
118	246	1824
119	247	1813
120	248	1803
121	249	1793
122	249	1780
123	250	1770
124	251	1760
125	252	1751
126	253	1741
127	253	1729
128	254	1720
129	255	1711
130	256	1702
131	257	1693
132	258	1684
133	259	1676
134	260	1668
135	261	1660
136	262	1653
137	263	1644
138	264	1636
139	265	1628
140	266	1620
141	266	1613
142	267	1605
143	268	1598
144	269	1591
145	270	1584
146	271	1576
147	272	1569
148	273	1562
149	274	1555
150	275	1548
151	276	1541
152	277	1534
153	278	1527
154	278	1520
155	279	1513
156	280	1507
157	281	1501
158	282	1494
159	283	1488
160	284	1482
161	285	1477
162	286	1471
163	287	1465
164	288	1459
165	289	1454
166	290	1448
167	291	1442
168	292	1436
169	293	1430
170	293	1424
171	294	1419
172	295	1413
173	296	1408
174	297	1403
175	298	1398
176	299	1392
177	300	1387
178	301	1382
179	302	1377
180	302	1370
181	303	1365
182	304	1360
183	305	1355
184	306	1350
185	307	1346
186	308	1341
187	309	1337
188	310	1332
189	311	1327
190	312	1323
191	313	1318
192	314	1314
193	315	1310
194	316	1306
195	317	1303
196	318	1299
197	319	1296
198	321	1292
199	322	1288
200	323	1285
201	324	1281
202	325	1277
203	326	1274
204	327	1271
205	328	1267
206	329	1264
207	331	1260
208	332	1256
209	333	1253
210	334	1249
211	335	1245
212	336	1241
213	336	1237
214	337	1233
215	338	1229
216	339	1225
217	340	1221
218	341	1218
219	342	1214
220	343	1210
221	344	1206
222	345	1203
223	346	1199
224	347	1196
225	348	1192
226	349	1189
227	350	1185
228	351	1181
229	351	1178
230	352	1174
231	353	1171
232	354	1168
233	355	1164
234	356	1161
235	357	1158
236	358	1154
237	359	1151
238	360	1148
239	361	1144
240	362	1141
241	363	1138
242	364	1134
243	365	1131
244	365	1127
245	366	1124
246	367	1121
247	368	1118
248	369	1114
249	370	1111
250	371	1108
251	372	1104
